timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633945289681,911,Tracker PV,200,,Http URL/API Test 1-3,text,true,,2068,1417,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d5c05a4,797,0,677
1633945289881,711,Tracker PV,200,,Http URL/API Test 1-5,text,true,,2068,1417,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d6005d2,597,0,477
1633945289681,800,Tracker PV-0,302,,Http URL/API Test 1-3,text,true,,1081,666,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA,797,0,677
1633945289881,600,Tracker PV-0,302,,Http URL/API Test 1-5,text,true,,1081,666,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA,597,0,477
1633945290487,105,Tracker PV-1,200,,Http URL/API Test 1-3,text,true,,987,751,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d5c05a4,105,0,0
1633945290487,105,Tracker PV-1,200,,Http URL/API Test 1-5,text,true,,987,751,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d6005d2,105,0,0
1633945289569,1048,Tracker PV,200,,Http URL/API Test 1-1,text,true,,2068,1417,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d86058f,929,0,789
1633945289569,929,Tracker PV-0,302,,Http URL/API Test 1-1,text,true,,1081,666,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA,929,0,789
1633945290498,119,Tracker PV-1,200,,Http URL/API Test 1-1,text,true,,987,751,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750d86058f,119,0,0
1633945289982,646,Tracker PV,200,,Http URL/API Test 1-6,text,true,,2068,1417,12,12,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA&neoid=2f8dd750dc805a0,532,0,410
